Department,Agency,OMB Agency,OMB Bureau,Treasury Agency Codes,CGAC Agency Code
Legislative Branch,Senate,001,05,00,000
Legislative Branch,House of Representatives,001,10,00,000
Legislative Branch,Joint Items,001,11,00,000
Legislative Branch,Capitol Police,001,13,02,002
Legislative Branch,Office of Compliance,001,12,09,009
Legislative Branch,Congressional Budget Office,001,14,08,008
Legislative Branch,Architect of the Capitol,001,15,01,001
Legislative Branch,Botanic Garden,001,18,09,009
Legislative Branch,Library of Congress,001,25,03,003
Legislative Branch,Government Publishing Office,001,30,04,004
Legislative Branch,Government Accountability Office,001,35,05,005
Legislative Branch,United States Tax Court,001,40,23,023
Legislative Branch,Legislative Branch Boards and Commissions,001,45,09,009
Legislative Branch,Legislative Branch Boards and Commissions,001,45,48,283
Judicial Branch,Judicial Branch,002,00,10,010
Judicial Branch,Supreme Court of the United States,002,05,10,010
Judicial Branch,United States Court of Appeals for the Federal Circuit,002,07,10,010
Judicial Branch,United States Court of International Trade,002,15,10,010
Judicial Branch,"Courts of Appeals, District Courts, and Other Judicial Services",002,25,10,010
Judicial Branch,Administrative Office of the United States Courts,002,26,10,010
Judicial Branch,Federal Judicial Center,002,30,10,010
Judicial Branch,Judicial Retirement Funds,002,35,10,010
Judicial Branch,United States Sentencing Commission,002,39,10,010
Department of Agriculture,Department of Agriculture,005,00,12,012
Department of Agriculture,Office of the Secretary,005,03,12,012
Department of Agriculture,Executive Operations,005,04,12,012
Department of Agriculture,Office of Chief Information Officer,005,12,12,012
Department of Agriculture,Office of Chief Financial Officer,005,14,12,012
Department of Agriculture,Office of Civil Rights,005,07,12,012
Department of Agriculture,Hazardous Materials Management,005,16,12,012
Department of Agriculture,Buildings and Facilities,005,19,12,012
Department of Agriculture,Office of Inspector General,005,08,12,012
Department of Agriculture,Office of the General Counsel,005,10,12,012
Department of Agriculture,Economic Research Service,005,13,12,012
Department of Agriculture,National Agricultural Statistics Service,005,15,12,012
Department of Agriculture,Agricultural Research Service,005,18,12,012
Department of Agriculture,National Institute of Food and Agriculture,005,20,12,012
Department of Agriculture,Animal and Plant Health Inspection Service,005,32,12,012
Department of Agriculture,Food Safety and Inspection Service,005,35,12,012
Department of Agriculture,"Grain Inspection, Packers and Stockyards Administration",005,37,12,012
Department of Agriculture,Agricultural Marketing Service,005,45,12,012
Department of Agriculture,Risk Management Agency,005,47,12,012
Department of Agriculture,Farm Service Agency,005,49,12,012
Department of Agriculture,Natural Resources Conservation Service,005,53,12,012
Department of Agriculture,Rural Development,005,55,12,012
Department of Agriculture,Rural Housing Service,005,63,12,012
Department of Agriculture,Rural Business Cooperative Service,005,65,12,012
Department of Agriculture,Rural Utilities Service,005,60,12,012
Department of Agriculture,Foreign Agricultural Service,005,68,12,012
Department of Agriculture,Food and Nutrition Service,005,84,12,012
Department of Agriculture,Forest Service,005,96,12,012
Department of Commerce,Department of Commerce,006,00,13,013
Department of Commerce,Departmental Management,006,05,13,013
Department of Commerce,Economic Development Administration,006,06,13,013
Department of Commerce,Bureau of the Census,006,07,13,013
Department of Commerce,Economics and Statistics Administration,006,08,13,013
Department of Commerce,International Trade Administration,006,25,13,013
Department of Commerce,Bureau of Industry and Security,006,30,13,013
Department of Commerce,Minority Business Development Agency,006,40,13,013
Department of Commerce,National Oceanic and Atmospheric Administration,006,48,13,013
Department of Commerce,US Patent and Trademark Office,006,51,13,013
Department of Commerce,National Technical Information Service,006,54,13,013
Department of Commerce,National Institute of Standards and Technology,006,55,13,013
Department of Commerce,National Telecommunications and Information Administration,006,60,13,013
Department of Defense_Military Programs,Department of Defense_Military Programs,007,00,*,*
Department of Defense_Military Programs,Military Personnel,007,05,*,*
Department of Defense_Military Programs,Operation and Maintenance,007,10,*,*
Department of Defense_Military Programs,International Reconstruction and Other Assistance,007,12,*,*
Department of Defense_Military Programs,Procurement,007,15,*,*
Department of Defense_Military Programs,"Research, Development, Test, and Evaluation",007,20,*,*
Department of Defense_Military Programs,Military Construction,007,25,*,*
Department of Defense_Military Programs,Family Housing,007,30,*,*
Department of Defense_Military Programs,Revolving and Management Funds,007,40,*,*
Department of Defense_Military Programs,Allowances,007,45,*,*
Department of Defense_Military Programs,Trust Funds,007,55,*,*
Department of Education,Department of Education,018,00,91,091
Department of Education,Office of Elementary and Secondary Education,018,10,91,091
Department of Education,Office of Innovation and Improvement,018,12,91,091
Department of Education,Office of English Language Acquisition,018,15,91,091
Department of Education,Office of Special Education and Rehabilitative Services,018,20,91,091
Department of Education,Office of Vocational and Adult Education,018,30,91,091
Department of Education,Office of Postsecondary Education,018,40,91,091
Department of Education,Office of Federal Student Aid,018,45,91,091
Department of Education,Institute of Education Sciences,018,50,91,091
Department of Education,Departmental Management,018,80,91,091
Department of Education,Hurricane Education Recovery,018,85,91,091
Department of Energy,Department of Energy,019,00,89,089
Department of Energy,National Nuclear Security Administration,019,05,89,089
Department of Energy,Environmental and Other Defense Activities,019,10,89,089
Department of Energy,Energy Programs,019,20,89,089
Department of Energy,Power Marketing Administration,019,50,89,089
Department of Energy,Departmental Administration,019,60,89,089
Department of Health and Human Services,Department of Health and Human Services,009,00,75,075
Department of Health and Human Services,Food and Drug Administration,009,10,75,075
Department of Health and Human Services,Health Resources and Services Administration,009,15,75,075
Department of Health and Human Services,Indian Health Service,009,17,75,075
Department of Health and Human Services,Centers for Disease Control and Prevention,009,20,75,075
Department of Health and Human Services,National Institutes of Health,009,25,75,075
Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,009,30,75,075
Department of Health and Human Services,Agency for Healthcare Research and Quality,009,33,75,075
Department of Health and Human Services,Centers for Medicare and Medicaid Services,009,38,75,075
Department of Health and Human Services,Administration for Children and Families,009,70,75,075
Department of Health and Human Services,Administration for Community Living,009,75,75,075
Department of Health and Human Services,Departmental Management,009,90,75,075
Department of Health and Human Services,Program Support Center,009,91,75,075
Department of Health and Human Services,Office of the Inspector General,009,92,75,075
Department of Homeland Security,Department of Homeland Security,024,00,70,070
Department of Homeland Security,Departmental Management and Operations,024,10,70,070
Department of Homeland Security,Office of the Inspector General,024,20,70,070
Department of Homeland Security,US Customs and Border Protection,024,58,70,070
Department of Homeland Security,Immigration and Customs Enforcement,024,55,70,070
Department of Homeland Security,Transportation Security Administration,024,45,70,070
Department of Homeland Security,United States Coast Guard,024,60,70,070
Department of Homeland Security,United States Secret Service,024,40,70,070
Department of Homeland Security,National Protection and Programs Directorate,024,65,70,070
Department of Homeland Security,Federal Emergency Management Agency,024,70,70,070
Department of Homeland Security,Citizenship and Immigration Services,024,30,70,070
Department of Homeland Security,Federal Law Enforcement Training Center,024,49,70,070
Department of Homeland Security,Science and Technology,024,80,70,070
Department of Homeland Security,Domestic Nuclear Detection Office,024,85,70,070
Department of Housing and Urban Development,Department of Housing and Urban Development,025,00,86,086
Department of Housing and Urban Development,Public and Indian Housing Programs,025,03,86,086
Department of Housing and Urban Development,Community Planning and Development,025,06,86,086
Department of Housing and Urban Development,Housing Programs,025,09,86,086
Department of Housing and Urban Development,Government National Mortgage Association,025,12,86,086
Department of Housing and Urban Development,Policy Development and Research,025,28,86,086
Department of Housing and Urban Development,Fair Housing and Equal Opportunity,025,29,86,086
Department of Housing and Urban Development,Office of Lead Hazard Control and Healthy Homes,025,32,86,086
Department of Housing and Urban Development,Office of Sustainable Housing and Communities,025,33,86,086
Department of Housing and Urban Development,Management and Administration,025,35,86,086
Department of the Interior,Department of the Interior,010,00,14,014
Department of the Interior,Bureau of Land Management,010,04,14,014
Department of the Interior,Bureau of Ocean Energy Management,010,06,14,014
Department of the Interior,Bureau of Safety and Environmental Enforcement,010,22,14,014
Department of the Interior,Office of Surface Mining Reclamation and Enforcement,010,08,14,014
Department of the Interior,Bureau of Reclamation,010,10,14,014
Department of the Interior,Central Utah Project,010,11,14,014
Department of the Interior,United States Geological Survey,010,12,14,014
Department of the Interior,United States Fish and Wildlife Service,010,18,14,014
Department of the Interior,National Park Service,010,24,14,014
Department of the Interior,Bureau of Indian Affairs and Bureau of Indian Education,010,76,14,014
Department of the Interior,Departmental Offices,010,84,14,014
Department of the Interior,Insular Affairs,010,85,14,014
Department of the Interior,Office of the Solicitor,010,86,14,014
Department of the Interior,Office of Inspector General,010,88,14,014
Department of the Interior,Office of the Special Trustee for American Indians,010,90,14,014
Department of the Interior,National Indian Gaming Commission,010,92,14,014
Department of the Interior,Department-Wide Programs,010,95,14,014
Department of Justice,Department of Justice,011,00,15,015
Department of Justice,General Administration,011,03,15,015
Department of Justice,United States Parole Commission,011,04,15,015
Department of Justice,Legal Activities and US Marshals,011,05,15,015
Department of Justice,National Security Division,011,08,15,015
Department of Justice,Radiation Exposure Compensation,011,06,15,015
Department of Justice,Interagency Law Enforcement,011,07,15,015
Department of Justice,Federal Bureau of Investigation,011,10,15,015
Department of Justice,Drug Enforcement Administration,011,12,15,015
Department of Justice,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",011,14,15,015
Department of Justice,Federal Prison System,011,20,15,015
Department of Justice,Office of Justice Programs,011,21,15,015
Department of Justice,Violent Crime Reduction Trust Fund,011,30,15,015
Department of Labor,Department of Labor,012,00,16,016
Department of Labor,Employment and Training Administration,012,05,16,016
Department of Labor,Employee Benefits Security Administration,012,11,16,016
Department of Labor,Pension Benefit Guaranty Corporation,012,12,16,016
Department of Labor,Employment Standards Administration,012,17,16,016
Department of Labor,Office of Workers' Compensation Programs,012,15,16,016
Department of Labor,Wage and Hour Division,012,16,16,016
Department of Labor,Office of Federal Contract Compliance Programs,012,22,16,016
Department of Labor,Office of Labor Management Standards,012,23,16,016
Department of Labor,Occupational Safety and Health Administration,012,18,16,016
Department of Labor,Mine Safety and Health Administration,012,19,16,016
Department of Labor,Bureau of Labor Statistics,012,20,16,016
Department of Labor,Departmental Management,012,25,16,016
Department of State,Department of State,014,00,19,019
Department of State,Department of State,014,00,67,067
Department of State,Administration of Foreign Affairs,014,05,19,019
Department of State,International Organizations and Conferences,014,10,19,019
Department of State,International Commissions,014,15,19,019
Department of State,Other,014,25,11,011
Department of State,Other,014,25,19,019
Department of State,Other,014,25,72,072
Department of State,Other,014,25,95,570
Department of Transportation,Department of Transportation,021,00,69,069
Department of Transportation,Office of the Secretary,021,04,69,069
Department of Transportation,Federal Aviation Administration,021,12,69,069
Department of Transportation,Federal Highway Administration,021,15,69,069
Department of Transportation,Federal Motor Carrier Safety Administration,021,17,69,069
Department of Transportation,National Highway Traffic Safety Administration,021,18,69,069
Department of Transportation,Federal Railroad Administration,021,27,69,069
Department of Transportation,Federal Transit Administration,021,36,69,069
Department of Transportation,Saint Lawrence Seaway Development Corporation,021,40,69,069
Department of Transportation,Pipeline and Hazardous Materials Safety Administration,021,50,69,069
Department of Transportation,Office of Inspector General,021,56,69,069
Department of Transportation,Surface Transportation Board,021,61,69,069
Department of Transportation,Maritime Administration,021,70,69,069
Department of the Treasury,Department of the Treasury,015,00,20,020
Department of the Treasury,Departmental Offices,015,05,20,020
Department of the Treasury,Financial Crimes Enforcement Network,015,04,20,020
Department of the Treasury,Fiscal Service,015,12,20,020
